10X433,0.18,HIGH,
10X434,0.03,LOW,
10X437,0.03,LOW,
10X438,0.05,LOW,
10X439,0.03,LOW,
10X440,0.09,MED,
10X442,0.04,LOW,
10X445,0.99,HIGH,
10X475,0.01,LOW,
10X477,0.22,HIGH,
10X546,0.05,LOW,
10X549,0.09,MED,
10X660,0.01,LOW,
10X696,0.96,HIGH,
11X249,0.1,MED,
11X253,0.03,LOW,
11X265,0.06,MED,
11X270,0.02,LOW,
11X275,0.11,MED,
11X288,0.35,HIGH,
11X290,0.09,MED,
11X299,0.06,MED,
11X415,0.03,LOW,
11X418,0.1,MED,
11X455,0.05,LOW,
11X513,0.2,HIGH,
11X514,0,LOW,
11X541,0.06,MED,
11X542,0.21,HIGH,
11X544,0.23,HIGH,
11X545,0.04,LOW,
12X248,0.04,LOW,
12X251,0.03,LOW,
12X267,0.15,MED,
12X271,0.06,MED,
12X278,0.07,MED,
12X480,0.03,LOW,
12X550,0.03,LOW,
12X680,0.02,LOW,
12X690,0.02,LOW,
12X692,0.06,MED,
13K265,0.11,MED,
13K350,0.05,LOW,
13K412,0.07,MED,
13K419,0.14,MED,
13K430,0.91,HIGH,
13K483,0.24,HIGH,
13K499,0.02,LOW,
13K509,0.02,LOW,
13K595,0.4,HIGH,
13K605,0.03,LOW,
13K670,0.46,HIGH,
14K071,0.05,LOW,
14K322,0.04,LOW,
14K404,0.05,LOW,
14K449,0.91,HIGH,
14K454,0.04,LOW,
14K474,0.05,LOW,
14K477,0.08,MED,
14K478,0.17,HIGH,
14K488,0.06,MED,
14K558,0.04,LOW,
14K561,0.12,MED,
14K586,0.03,LOW,
14K610,0,LOW,
15K462,0.16,HIGH,
15K463,0.05,LOW,
15K464,0.05,LOW,
15K497,0.12,MED,
15K519,0.04,LOW,
15K530,0.04,LOW,
15K656,0.13,MED,
16K393,0.05,LOW,
16K455,0.03,LOW,
16K498,0.03,LOW,
17K382,0.06,MED,
17K408,0.07,MED,
17K489,0,LOW,
17K524,0.15,MED,
17K528,0.05,LOW,
17K531,0.09,MED,
17K533,0.02,LOW,
17K537,0.03,LOW,
17K539,0.05,LOW,
17K543,0.29,HIGH,
17K544,0.02,LOW,
17K546,0.24,HIGH,
17K547,0.08,MED,
17K548,0.06,MED,
17K568,0,LOW,
17K590,0.29,HIGH,
17K600,0.15,MED,
17K625,0.03,LOW,
18K500,0.04,LOW,
18K563,0.1,MED,
18K566,0.05,LOW,
18K567,0.07,MED,
18K569,0.03,LOW,
18K576,0.03,LOW,
18K589,0.07,MED,
19K409,0.08,MED,
19K420,0.05,LOW,
19K502,0.04,LOW,
19K504,0.04,LOW,
19K507,0.03,LOW,
19K510,0.06,MED,
19K583,0.06,MED,
19K615,0.14,MED,
19K659,0.04,LOW,
19K660,0.02,LOW,
20K445,0.24,HIGH,
20K485,0.3,HIGH,
20K490,0.27,HIGH,
20K505,0.2,HIGH,
21K337,0.07,MED,
21K344,0.15,MED,
21K348,0.1,MED,
21K410,0.17,HIGH,
21K525,0.41,HIGH,
21K540,0.23,HIGH,
21K559,0.14,MED,
21K620,0.03,LOW,
21K690,0.22,HIGH,
21K728,0.03,LOW,
22K405,0.53,HIGH,
22K425,0.3,HIGH,
22K495,0.09,MED,
22K535,0.73,HIGH,
22K555,0.39,HIGH,
23K493,0.05,LOW,
23K514,0.05,LOW,
23K645,0.03,LOW,
23K647,0,LOW,
23K697,0.17,HIGH,
24Q264,0.22,HIGH,
24Q267,0.1,MED,
24Q296,0.01,LOW,
24Q299,0.73,HIGH,
24Q455,0.12,MED,
24Q485,0.12,MED,
24Q550,0.12,MED,
24Q560,0.14,MED,
24Q600,0.16,HIGH,
24Q610,0.41,HIGH,
25Q263,0.11,MED,
25Q281,0.24,HIGH,
25Q285,0.25,HIGH,
25Q425,0.15,MED,
25Q460,0.14,MED,
25Q525,1,HIGH,
25Q540,0.03,LOW,
25Q670,0.21,HIGH,
26Q415,0.49,HIGH,
26Q430,0.49,HIGH,
26Q435,0.06,MED,
26Q495,0.5,HIGH,
26Q566,0.17,HIGH,
27Q260,0.05,LOW,
27Q262,0.21,HIGH,
27Q323,0.82,HIGH,
27Q400,0.01,LOW,
27Q410,0.03,LOW,
27Q465,0.01,LOW,
27Q475,0.08,MED,
27Q480,0.09,MED,
27Q650,0.34,HIGH,
28Q440,0.33,HIGH,
28Q470,0.08,MED,
28Q505,0.13,MED,
28Q620,0.44,HIGH,
28Q680,0.7,HIGH,
28Q687,0.84,HIGH,
28Q690,0.03,LOW,
28Q896,0.28,HIGH,
29Q248,0.13,MED,
29Q259,0.02,LOW,
29Q265,0.06,MED,
29Q272,0.05,LOW,
29Q283,0.04,LOW,
29Q492,0.23,HIGH,
29Q494,0.07,MED,
29Q496,0.03,LOW,
29Q498,0.04,LOW,
30Q445,0.25,HIGH,
30Q450,0.17,HIGH,
30Q501,0.33,HIGH,
30Q502,0.14,MED,
30Q555,0.26,HIGH,
30Q575,0.45,HIGH,
30Q580,0.81,HIGH,
31R047,0.29,HIGH,
31R080,0.28,HIGH,
31R440,0.17,HIGH,
31R445,0.14,MED,
31R450,0.14,MED,
31R455,0.33,HIGH,
31R460,0.31,HIGH,
31R470,0,LOW,
31R600,0.13,MED,
31R605,0.98,HIGH,
32K403,0.02,LOW,
32K545,0.11,MED,
32K549,0.06,MED,
32K552,0.08,MED,
32K554,0.17,HIGH,
32K556,0.04,LOW,
